,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
172,173,513.5173,51.04,354.5825781,42.631543,65928.65,105.0008,0.0,1.421,2.68,62.8159,24.68538,7339.851,80.0,1.378,1.196,-45.65,0
170,171,511.6327,53.7964,354.5824785,42.6315767,65732.46,105.154,0.006333333333333333,1.376,2.54,62.54262,24.72576,8715.502,70.0,1.328,1.12,-54.9,0
175,176,493.6485,78.6264,354.5826293,42.6315228,65658.22,104.0696,0.06333333333333334,1.416,2.85,59.82308,24.46646,7695.557,74.0,1.383,1.131,-48.12,0
75,76,287.8421,672.2729,354.5827252,42.63174,54511.51,103.4708,0.6459999999999999,1.202,1.99,55.23425,24.33428,9138.189,67.0,1.16,1.041,-54.65,0
90,91,289.7396,670.2889,354.5827152,42.631739,53645.37,103.1858,0.6523333333333333,1.237,2.32,55.71159,24.24154,7505.684,71.0,1.204,1.08,-43.0,0
72,73,272.1549,661.8692,354.582782,42.6317872,65685.88,103.1782,0.6586666666666666,1.303,2.55,55.44611,24.2526,9343.114,76.0,1.268,1.054,-48.34,0
87,88,313.8724,670.3467,354.5827125,42.6315369,41375.2,103.3516,0.665,1.325,3.24,55.26093,24.28477,6294.82,98.0,3.264,1.019,13.89,0
72,73,317.4167,667.7866,354.5827176,42.6317587,66023.65,103.0168,0.6713333333333332,1.248,2.42,55.34453,24.22324,8616.33,70.0,1.231,1.046,-61.11,0
68,69,320.1219,665.4412,354.5827168,42.6317626,66255.33,102.9339,0.6776666666666666,1.14,1.94,55.30582,24.19518,10605.44,71.0,1.119,1.028,-38.93,0
73,74,322.6144,663.04,354.582725,42.6317669,65970.09,103.0037,0.6839999999999999,1.286,2.72,55.32006,24.21587,9252.153,77.0,1.286,1.023,-45.25,0
76,77,332.9933,635.1048,354.5827307,42.6315249,65814.42,102.8595,0.6903333333333334,1.304,2.74,55.22565,24.1991,9275.527,77.0,1.269,1.035,-37.59,0
174,175,491.8525,81.6443,354.5825769,42.6315226,65405.53,103.8587,0.06966666666666667,1.378,3.03,59.79896,24.42118,8813.165,75.0,1.339,1.127,-47.84,0
